,case,date,code,court,Unintelligible,NOTAccountable,text
1,"Craig Ames, Robert McGee v The Spamhaus Project Limited, Stephen Linford",27 January 2015,[2015] EWHC 127 (QB),High Court of Justice Queen's Bench Division,,1,Mr McGee explains that “Spamhaus is unregulated and UNACCOUNTABLE”.
2,Parkwell Investments Ltd v Wilson (as Provisional Liquidator of Parkwell Investments Ltd),16 October 2014,[2014] EWHC 3381 (Ch),Chancery Division (Companies Court),,1,"All of the CDR data that had been supplied had been the product of a processing exercise undertaken by someone who is outside the jurisdiction and, being no more than an outside consultant (so HMRC were informed), wholly UNACCOUNTABLE to Parkwell."
3,"The Secretary of State for Business, Innovation and Skills v Patrick Joseph Doherty",18 August 2014,[2014] EWHC 2816 (Ch),High Court of Justice Chancery Division Newcastle Upon Tyne District Registry,1,,His conclusion was:– “… that there is a significant and UNACCOUNTABLE difference between the quantities installed on site and that invoiced.
4,Bank of Ireland (UK) plc v Dermot McLaughlin,18 August 2014,[2014] NIQB 104,High Court of Justice In Northern Ireland Queen's Bench Division,1,,He had some UNACCOUNTABLE lapses of memory.
5,Samara v MBI & Partners UK Ltd and Another,4 March 2014,[2014] EWHC 563 (QB),Queen's Bench Division,1,,"Submissions 28 Mr Derrick Dale QC, counsel for the first defendant, contends the appeal should be allowed because of a number of factors including that:    (a) The Master erred in finding that there was excessive delay and in holding that it was a decisive factor;    (b) Insufficient weight was attached to the claimant's delay in bringing the claim which was extraordinary, UNACCOUNTABLE and also unaccounted for;    (c) The claimant and his solicitors knew that the first defendant was seeking to set aside the default judgment and was seeking to obtain the claimant's consent;    (d) There have been developments since the hearing before the Master because, as I have explained in para 3 above, Cooke J has held there will have to be a trial on the fraud claim and the limitation defence could then easily have been resolved in the context of that claim;    (e) The claimant will not suffer any prejudice if the judgment is set aside as the amount claimed of £376,000 has been paid into court; and that    (f) The first defendant will suffer very considerable injustice unless the appeal is allowed and the judgment is set aside."
6,Village Developments plc v Tandridge District Council,28 February 2014,[2014] EWHC 1484 (Admin),High Court of Justice Queen's Bench Division the Administrative Court,1,,"Further, it seems UNACCOUNTABLE that having established from Mr and Mrs Damesick what her address was that hand delivery did not occur as soon as her correct address was known."
7,Regina v Ade Ibrahim Adeshiyan,6 February 2014,[2014] EWCA Crim 275,Court of Appeal Criminal Division,,1,"It would be good for the appellant to reflect on his lifestyle, which sees him drawn into gang-related violent activity and also into an attitude whereby he considers himself above the law and UNACCOUNTABLE to anyone."
10,"Richard Anthony Moxon v James Raymond Litchfield, Peter Hartley Cook, Wojciech Tadeusz Kulesza, Shirley Cropper, Heritage Corporate Trustees Limited, LCM Wealth Management Limited",12 December 2013,[2013] EWHC 3957 (Ch),High Court of Justice Chancery Division Companies Court,1,,"He seeks to place the blame on Mr Litchfield, Mr McCulloch and UNACCOUNTABLE misfortune: never on himself."
11,"Max Couper, The Trustees of the Couper Collection Charitable Trust v Albion Properties Limited, Port of London Authority, Hutchison Whampoa Properties (Europe) Limited",8 October 2013,[2013] EWHC 2993 (Ch),High Court of Justice Chancery Division,,1,"Thus she did not shrink from accusing the PLA of “forgery”, of behaving in “a dishonest and UNACCOUNTABLE manner” and of using “bullying tactics, deception and chicanery”."
12,"Surrey County Council v Zainab Al-Hilli, Zeena Al-Hilli (both through their Children's Guardian), FADWA Al-Saffar, Ahmed Mahmood, The Chief Constable of Surrey, Times Newspapers Ltd",22 July 2013,[2013] EWHC 2190 (Fam),High Court of Justice Family Division,,1,"I am determined that the new Family Court should not be saddled, as the family courts are at present, with the charge that we are a system of secret and UNACCOUNTABLE justice."
13,Metall Market OOO v Vitorio Shipping Co Ltd (The Lehmann Timber).,7 June 2013,[2013] EWCA Civ 650,Court of Appeal (Civil Division).,1,,"The award found that the amount and form of security sought was reasonable, and that the consignee's failure and refusal to provide the missing security were unreasonable and UNACCOUNTABLE."
